Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
132º,Fiat Freemont,96,36,51,38,44,27,44,38,87,157,33,14,665
133º,Peugeot Boxer,105,74,66,115,64,35,44,22,60,22,21,25,653
134º,Mercedes-Benz GLE,2,2,89,63,75,90,69,48,38,38,49,54,617
135º,BMW X3,54,22,29,28,40,54,27,57,76,56,38,97,578
136º,Lifan Foison,57,57,67,55,45,41,42,41,35,31,34,49,554
137º,Mercedes-Benz GLC,1,1,99,92,84,72,27,31,57,38,24,15,541
138º,Jeep Grand Cherokee,60,60,80,100,60,,,20,30,40,31,50,531
139º,CAOA Chery Celer Sedan,21,26,32,34,33,14,31,105,128,45,21,18,508
140º,JAC T6,74,47,57,33,17,18,23,41,52,41,19,84,506
,,,,,,,,,,,,,,
141º,Volvo V40,56,21,42,36,49,65,51,39,47,31,22,37,496
142º,Audi A5,28,30,48,37,73,64,61,68,59,13,1,4,486
143º,Toyota Prius,19,16,12,83,5,42,10,15,19,55,88,122,486
144º,Land Rover Discovery,78,38,58,57,51,35,11,20,34,16,68,19,485
145º,Chevrolet Camaro,20,33,31,18,33,76,66,34,32,13,61,60,477
146º,Jaguar XE,37,45,60,36,51,33,39,38,29,28,42,32,470
147º,JAC J3 Turin,88,45,34,37,46,20,31,34,21,5,9,74,444
148º,CAOA Chery QQ,50,34,44,90,51,23,14,16,5,14,41,55,437
149º,Volkswagen Space Cross,,4,50,51,47,34,45,71,18,67,28,20,435
150º,Volvo XC90,34,22,21,18,31,33,49,63,61,34,31,37,434
151º,BMW X6,55,43,65,29,22,14,22,24,28,37,36,42,417
152º,JAC J3,52,33,36,26,23,27,27,18,7,,20,145,414
153º,Audi TT Coupé,28,33,22,16,27,37,32,59,37,22,41,46,400
154º,Kia Soul,37,47,26,32,25,37,19,32,29,36,19,41,380
155º,Mercedes-Benz Vito,39,33,42,42,38,38,27,24,28,24,22,19,376
156º,Audi A1,14,37,196,56,12,5,9,11,6,5,7,5,363
157º,CAOA Chery Tiggo,23,24,20,31,42,30,40,41,28,24,21,29,353
158º,Peugeot Partner,13,11,24,27,13,24,23,26,39,31,45,75,351
159º,Porsche Macan,18,20,26,25,15,24,34,44,33,31,30,46,346
160º,Porsche Cayenne,27,28,21,31,30,47,39,26,19,23,11,34,336
,,,,,,,,,,,,,,
161º,Audi Q5,20,24,34,20,37,38,32,34,35,29,17,11,331
162º,Mini Countryman,16,20,72,61,68,79,8,6,1,,,,331
163º,Mitsubishi Pajero Full,56,20,33,14,23,,12,29,50,29,13,30,309
164º,BMW Série 2 Active Tourer,9,12,18,8,12,31,28,24,34,33,42,55,306
165º,Lexus NX,21,14,22,29,28,34,20,20,21,19,20,34,282
166º,Volkswagen Fusca,22,26,23,36,37,26,33,10,11,9,16,12,261
167º,RAM 2500,71,49,43,24,34,37,,1,,,,1,260
168º,Ford Edge,14,8,5,22,4,4,1,13,62,43,42,37,255
169º,Volvo S60,19,16,28,20,18,16,26,18,14,26,34,18,253
170º,Mercedes-Benz Classe E,29,17,27,18,30,17,14,8,6,19,34,33,252
171º,Hyundai Azera,36,45,33,23,16,31,3,17,15,17,6,9,251
172º,Audi A3,37,16,22,18,16,17,14,24,21,31,13,8,237
173º,Subaru XV,,,,34,37,23,29,21,15,30,26,18,233
174º,Volkswagen Passat,8,19,20,19,22,16,19,15,11,16,15,38,218
175º,Citroën C4 Picasso,41,30,32,21,17,21,17,4,5,6,4,19,217
176º,Geely GC2,54,13,34,12,10,11,10,13,11,13,15,18,214
177º,Jeep Cherokee,8,9,20,11,29,53,39,3,12,13,10,3,210
178º,JAC J2,28,27,21,16,12,7,24,35,25,9,4,1,209
